PassengerId,Survived,Pclass,,,Name,Sex,,Age,,,SibSp,Parch,Ticket,Fare,,Cabin,Embarked
610,1,1,1,1,"Shutes, Miss. Elizabeth W",female,1,40,0,1,0,0,PC 17582,153.4625,1,C125,S
559,1,1,1,1,"Taussig, Mrs. Emil (Tillie Mandelbaum)",female,1,39,0,1,1,1,110413,79.65,1,E67,S
578,1,1,1,1,"Silvey, Mrs. William Baird (Alice Munger)",female,1,39,0,1,1,0,13507,55.9,1,E44,S
582,1,1,1,1,"Thayer, Mrs. John Borland (Marian Longstreth Morris)",female,1,39,0,1,1,1,17421,110.8833,1,C68,C
836,1,1,1,1,"Compton, Miss. Sara Rebecca",female,1,39,0,1,1,1,PC 17756,83.1583,1,E49,C
2,1,1,1,1,"Cumings, Mrs. John Bradley (Florence Briggs Thayer)",female,1,38,0,1,1,0,PC 17599,71.2833,1,C85,C
62,1,1,1,1,"Icard, Miss. Amelie",female,1,38,0,1,0,0,113572,80,1,B28,
225,1,1,0,0,"Hoyt, Mr. Frederick Maxfield",male,0,38,0,1,1,0,19943,90,1,C93,S
717,1,1,1,1,"Endres, Miss. Caroline Louise",female,1,38,0,1,0,0,PC 17757,227.525,1,C45,C
249,1,1,0,0,"Beckwith, Mr. Richard Leonard",male,0,37,0,1,1,1,11751,52.5542,1,D35,S
326,1,1,1,1,"Young, Miss. Marie Grice",female,1,36,0,1,0,0,PC 17760,135.6333,1,C32,C
391,1,1,0,0,"Carter, Mr. William Ernest",male,0,36,0,1,1,2,113760,120,1,B96 B98,S
513,1,1,0,0,"McGough, Mr. James Robert",male,0,36,0,0,0,0,PC 17473,26.2875,1,E25,S
541,1,1,1,1,"Crosby, Miss. Harriet R",female,1,36,0,1,0,2,WE/P 5735,71,1,B22,S
573,1,1,0,0,"Flynn, Mr. John Irwin (""Irving"")",male,0,36,0,0,0,0,PC 17474,26.3875,1,E25,S
680,1,1,0,0,"Cardeza, Mr. Thomas Drake Martinez",male,0,36,0,0,0,1,PC 17755,512.3292,1,B51 B53 B55,C
764,1,1,1,1,"Carter, Mrs. William Ernest (Lucile Polk)",female,1,36,0,1,1,2,113760,120,1,B96 B98,S
4,1,1,1,1,"Futrelle, Mrs. Jacques Heath (Lily May Peel)",female,1,35,0,1,1,0,113803,53.1,1,C123,S
231,1,1,1,1,"Harris, Mrs. Henry Birkhardt (Irene Wallach)",female,1,35,0,1,1,0,36973,83.475,1,C83,S
259,1,1,1,1,"Ward, Miss. Anna",female,1,35,0,1,0,0,PC 17755,512.3292,1,,C
270,1,1,1,1,"Bissette, Miss. Amelia",female,1,35,0,1,0,0,PC 17760,135.6333,1,C99,S
384,1,1,1,1,"Holverson, Mrs. Alexander Oskar (Mary Aline Towner)",female,1,35,0,1,1,0,113789,52,1,,S
487,1,1,1,1,"Hoyt, Mrs. Frederick Maxfield (Jane Anne Forby)",female,1,35,0,1,1,0,19943,90,1,C93,S
605,1,1,0,0,"Homer, Mr. Harry (""Mr E Haven"")",male,0,35,0,0,0,0,111426,26.55,1,,C
702,1,1,0,0,"Silverthorne, Mr. Spencer Victor",male,0,35,0,0,0,0,PC 17475,26.2875,1,E24,S
738,1,1,0,0,"Lesurer, Mr. Gustave J",male,0,35,0,0,0,0,PC 17755,512.3292,1,B101,C
448,1,1,0,0,"Seward, Mr. Frederic Kimber",male,0,34,0,0,0,0,113794,26.55,1,,S
413,1,1,1,1,"Minahan, Miss. Daisy E",female,1,33,0,1,1,0,19928,90,1,C78,Q
760,1,1,1,1,"Rothes, the Countess. of (Lucy Noel Martha Dyer-Edwards)",female,1,33,0,1,0,0,110152,86.5,1,B77,S
810,1,1,1,1,"Chambers, Mrs. Norman Campbell (Bertha Griggs)",female,1,33,0,1,1,0,113806,53.1,1,E8,S
219,1,1,1,1,"Bazzani, Miss. Albina",female,1,32,0,1,0,0,11813,76.2917,1,D15,C
633,1,1,0,0,"Stahelin-Maeglin, Dr. Max",male,0,32,0,0,0,0,13214,30.5,1,B50,C
216,1,1,1,1,"Newell, Miss. Madeleine",female,1,31,0,1,1,0,35273,113.275,1,D36,C
319,1,1,1,1,"Wick, Miss. Mary Natalie",female,1,31,0,1,0,2,36928,164.8667,1,C7,S
691,1,1,0,0,"Dick, Mr. Albert Adrian",male,0,31,0,1,1,0,17474,57,1,B20,S
258,1,1,1,1,"Cherry, Miss. Gladys",female,1,30,0,1,0,0,110152,86.5,1,B77,S
310,1,1,1,1,"Francatelli, Miss. Laura Mabel",female,1,30,0,1,0,0,PC 17485,56.9292,1,E36,C
521,1,1,1,1,"Perreault, Miss. Anne",female,1,30,0,1,0,0,12749,93.5,1,B73,S
538,1,1,1,1,"LeRoy, Miss. Bertha",female,1,30,0,1,0,0,PC 17761,106.425,1,,C
843,1,1,1,1,"Serepeca, Miss. Augusta",female,1,30,0,1,0,0,113798,31,1,,C
731,1,1,1,1,"Allen, Miss. Elisabeth Walton",female,1,29,0,1,0,0,24160,211.3375,1,B5,S
24,1,1,0,0,"Sloper, Mr. William Thompson",male,0,28,0,0,0,0,113788,35.5,1,A6,S
431,1,1,0,0,"Bjornstrom-Steffansson, Mr. Mauritz Hakan",male,0,28,0,0,0,0,110564,26.55,1,C52,S
608,1,1,0,0,"Daniel, Mr. Robert Williams",male,0,27,0,0,0,0,113804,30.5,1,,S
682,1,1,0,0,"Hassab, Mr. Hammad",male,0,27,0,0,0,0,PC 17572,76.7292,1,D49,C
725,1,1,0,0,"Chambers, Mr. Norman Campbell",male,0,27,0,1,1,0,113806,53.1,1,E8,S
291,1,1,1,1,"Barber, Miss. Ellen ""Nellie""",female,1,26,0,1,0,0,19877,78.85,1,,S
890,1,1,0,0,"Behr, Mr. Karl Howell",male,0,26,0,0,0,0,111369,30,1,C148,C
371,1,1,0,0,"Harder, Mr. George Achilles",male,0,25,0,1,1,0,11765,55.4417,1,E50,C
485,1,1,0,0,"Bishop, Mr. Dickinson H",male,0,25,0,1,1,0,11967,91.0792,1,B49,C
311,1,1,1,1,"Hays, Miss. Margaret Bechstein",female,1,24,0,1,0,0,11767,83.1583,1,C54,C
342,1,1,1,1,"Fortune, Miss. Alice Elizabeth",female,1,24,0,1,3,2,19950,263,1,C23 C25 C27,S
370,1,1,1,1,"Aubart, Mme. Leontine Pauline",female,1,24,0,1,0,0,PC 17477,69.3,1,B35,C
642,1,1,1,1,"Sagesser, Mlle. Emma",female,1,24,0,1,0,0,PC 17477,69.3,1,B35,C
711,1,1,1,1,"Mayne, Mlle. Berthe Antonine (""Mrs de Villiers"")",female,1,24,0,1,0,0,PC 17482,49.5042,1,C90,C
89,1,1,1,1,"Fortune, Miss. Mabel Helen",female,1,23,0,1,3,2,19950,263,1,C23 C25 C27,S
98,1,1,0,0,"Greenfield, Mr. William Bertram",male,0,23,0,0,0,1,PC 17759,63.3583,1,D10 D12,C
394,1,1,1,1,"Newell, Miss. Marjorie",female,1,23,0,1,1,0,35273,113.275,1,D36,C
152,1,1,1,1,"Pears, Mrs. Thomas (Edith Wearne)",female,1,22,0,1,1,0,113776,66.6,1,C2,S
357,1,1,1,1,"Bowerman, Miss. Elsie Edith",female,1,22,0,1,0,1,113505,55,1,E33,S
540,1,1,1,1,"Frolicher, Miss. Hedwig Margaritha",female,1,22,0,1,0,2,13568,49.5,1,B39,C
709,1,1,1,1,"Cleaver, Miss. Alice",female,1,22,0,1,0,0,113781,151.55,1,,S
628,1,1,1,1,"Longley, Miss. Gretchen Fiske",female,1,21,0,1,0,0,13502,77.9583,1,D9,S
743,1,1,1,1,"Ryerson, Miss. Susan Parker ""Suzette""",female,1,21,0,1,2,2,PC 17608,262.375,1,B57 B59 B63 B66,C
137,1,1,1,1,"Newsom, Miss. Helen Monypeny",female,1,19,0,1,0,2,11752,26.2833,1,D47,S
292,1,1,1,1,"Bishop, Mrs. Dickinson H (Helen Walton)",female,1,19,0,1,1,0,11967,91.0792,1,B49,C
888,1,1,1,1,"Graham, Miss. Margaret Edith",female,1,19,0,1,0,0,112053,30,1,B42,S
312,1,1,1,1,"Ryerson, Miss. Emily Borie",female,1,18,0,1,2,2,PC 17608,262.375,1,B57 B59 B63 B66,C
586,1,1,1,1,"Taussig, Miss. Ruth",female,1,18,0,1,0,2,110413,79.65,1,E68,S
701,1,1,1,1,"Astor, Mrs. John Jacob (Madeleine Talmadge Force)",female,1,18,0,1,1,0,PC 17757,227.525,1,C62 C64,C
308,1,1,1,1,"Penasco y Castellana, Mrs. Victor de Satode (Maria Josefa Perez de Soto y Vallejo)",female,1,17,0,1,1,0,PC 17758,108.9,1,C65,C
551,1,1,0,0,"Thayer, Mr. John Borland Jr",male,0,17,0,0,0,2,17421,110.8833,1,C70,C
782,1,1,1,1,"Dick, Mrs. Albert Adrian (Vera Gillespie)",female,1,17,0,1,1,0,17474,57,1,B20,S
330,1,1,1,1,"Hippach, Miss. Jean Gertrude",female,1,16,0,1,0,1,111361,57.9792,1,B18,C
505,1,1,1,1,"Maioni, Miss. Roberta",female,1,16,0,1,0,0,110152,86.5,1,B79,S
854,1,1,1,1,"Lines, Miss. Mary Conover",female,1,16,0,1,0,1,PC 17592,39.4,1,D28,S
690,1,1,1,1,"Madill, Miss. Georgette Alexandra",female,1,15,0,1,0,1,24160,211.3375,1,B5,S
436,1,1,1,1,"Carter, Miss. Lucile Polk",female,1,14,0,1,1,2,113760,120,1,B96 B98,S
803,1,1,0,0,"Carter, Master. William Thornton II",male,0,11,0,1,1,2,113760,120,1,B96 B98,S
446,1,1,0,0,"Dodge, Master. Washington",male,0,4,1,0,0,2,33638,81.8583,1,A34,S
306,1,1,0,0,"Allison, Master. Hudson Trevor",male,0,0.92,1,1,1,2,113781,151.55,1,C22 C26,S
32,1,1,1,1,"Spencer, Mrs. William Augustus (Marie Eugenie)",female,1,,0,1,1,0,PC 17569,146.5208,1,B78,C
56,1,1,0,0,"Woolner, Mr. Hugh",male,0,,0,0,0,0,19947,35.5,1,C52,S
167,1,1,1,1,"Chibnall, Mrs. (Edith Martha Bowerman)",female,1,,0,1,0,1,113505,55,1,E33,S
257,1,1,1,1,"Thorne, Mrs. Gertrude Maybelle",female,1,,0,1,0,0,PC 17585,79.2,1,,C
299,1,1,0,0,"Saalfeld, Mr. Adolphe",male,0,,0,0,0,0,19988,30.5,1,C106,S
307,1,1,1,1,"Fleming, Miss. Margaret",female,1,,0,1,0,0,17421,110.8833,1,,C
335,1,1,1,1,"Frauenthal, Mrs. Henry William (Clara Heinsheimer)",female,1,,0,1,1,0,PC 17611,133.65,1,,S
376,1,1,1,1,"Meyer, Mrs. Edgar Joseph (Leila Saks)",female,1,,0,1,1,0,PC 17604,82.1708,1,,C
458,1,1,1,1,"Kenyon, Mrs. Frederick R (Marion)",female,1,,0,1,1,0,17464,51.8625,1,D21,S
508,1,1,0,0,"Bradley, Mr. George (""George Arthur Brayton"")",male,0,,0,0,0,0,111427,26.55,1,,S
670,1,1,1,1,"Taylor, Mrs. Elmer Zebley (Juliet Cummins Wright)",female,1,,0,1,1,0,19996,52,1,C126,S
741,1,1,0,0,"Hawksford, Mr. Walter James",male,0,,0,0,0,0,16988,30,1,D45,S
840,1,1,0,0,"Marechal, Mr. Pierre",male,0,,0,0,0,0,11774,29.7,1,C47,C
850,1,1,1,1,"Goldenberg, Mrs. Samuel L (Edwiga Grabowska)",female,1,,0,1,1,0,17453,89.1042,1,C92,C
571,1,2,0,0,"Harris, Mr. George",male,0,62,0,0,0,0,S.W./PP 752,10.5,0,,S
16,1,2,0,1,"Hewlett, Mrs. (Mary D Kingcome) ",female,1,55,0,1,0,0,248706,16,0,,S
775,1,2,0,1,"Hocking, Mrs. Elizabeth (Eliza Needs)",female,1,54,0,1,1,3,29105,23,0,,S
260,1,2,0,1,"Parrish, Mrs. (Lutie Davis)",female,1,50,0,1,0,1,230433,26,1,,S
459,1,2,0,1,"Toomey, Miss. Ellen",female,1,50,0,1,0,0,F.C.C. 13531,10.5,0,,S
527,1,2,0,1,"Ridsdale, Miss. Lucy",female,1,50,0,1,0,0,W./C. 14258,10.5,0,,S
755,1,2,0,1,"Herman, Mrs. Samuel (Jane Laver)",female,1,48,0,1,1,2,220845,65,1,,S
441,1,2,0,1,"Hart, Mrs. Benjamin (Esther Ada Bloomfield)",female,1,45,0,1,1,1,F.C.C. 13529,26.25,1,,S
707,1,2,0,1,"Kelly, Mrs. Florence ""Fannie""",female,1,45,0,1,0,0,223596,13.5,0,,S
289,1,2,0,0,"Hosono, Mr. Masabumi",male,0,42,0,0,0,0,237798,13,0,,S
433,1,2,0,1,"Louch, Mrs. Charles Alexander (Alice Adelaide Slow)",female,1,42,0,1,1,0,SC/AH 3085,26,1,,S
866,1,2,0,1,"Bystrom, Mrs. (Karolina)",female,1,42,0,1,0,0,236852,13,0,,S
273,1,2,0,1,"Mellinger, Mrs. (Elizabeth Anne Maidment)",female,1,41,0,1,0,1,250644,19.5,0,,S
162,1,2,0,1,"Watt, Mrs. James (Elizabeth ""Bessie"" Inglis Milne)",female,1,40,0,1,0,0,C.A. 33595,15.75,0,,S
347,1,2,0,1,"Smith, Miss. Marion Elsie",female,1,40,0,1,0,0,31418,13,0,,S
671,1,2,0,1,"Brown, Mrs. Thomas William Solomon (Elizabeth Catherine Ford)",female,1,40,0,1,1,1,29750,39,1,,S
328,1,2,0,1,"Ball, Mrs. (Ada E Hall)",female,1,36,0,1,0,0,28551,13,0,D,S
388,1,2,0,1,"Buss, Miss. Kate",female,1,36,0,1,0,0,27849,13,0,,S
519,1,2,0,1,"Angle, Mrs. William A (Florence ""Mary"" Agnes Hughes)",female,1,36,0,1,1,0,226875,26,1,,S
212,1,2,0,1,"Cameron, Miss. Clear Annie",female,1,35,0,1,0,0,F.C.C. 13528,21,0,,S
22,1,2,0,0,"Beesley, Mr. Lawrence",male,0,34,0,0,0,0,248698,13,0,D56,S
99,1,2,0,1,"Doling, Mrs. John T (Ada Julia Bone)",female,1,34,0,1,0,1,231919,23,0,,S
417,1,2,0,1,"Drew, Mrs. James Vivian (Lulu Thorne Christian)",female,1,34,0,1,1,1,28220,32.5,1,,S
517,1,2,0,1,"Lemore, Mrs. (Amelia Milley)",female,1,34,0,1,0,0,C.A. 34260,10.5,0,F33,S
577,1,2,0,1,"Garside, Miss. Ethel",female,1,34,0,1,0,0,243880,13,0,,S
473,1,2,0,1,"West, Mrs. Edwy Arthur (Ada Mary Worth)",female,1,33,0,1,1,2,C.A. 34651,27.75,1,,S
507,1,2,0,1,"Quick, Mrs. Frederick Charles (Jane Richards)",female,1,33,0,1,0,2,26360,26,1,,S
124,1,2,0,1,"Webber, Miss. Susan",female,1,32.5,0,1,0,0,27267,13,0,E101,S
191,1,2,0,1,"Pinsky, Mrs. (Rosa)",female,1,32,0,1,0,0,234604,13,0,,S
544,1,2,0,0,"Beane, Mr. Edward",male,0,32,0,1,1,0,2908,26,1,,S
674,1,2,0,0,"Wilhelms, Mr. Charles",male,0,31,0,0,0,0,244270,13,0,,S
802,1,2,0,1,"Collyer, Mrs. Harvey (Charlotte Annie Tate)",female,1,31,0,1,1,1,C.A. 31921,26.25,1,,S
323,1,2,0,1,"Slayter, Miss. Hilda Mary",female,1,30,0,1,0,0,234818,12.35,0,,Q
727,1,2,0,1,"Renouf, Mrs. Peter Henry (Lillian Jefferys)",female,1,30,0,1,3,0,31027,21,0,,S
748,1,2,0,1,"Sinkkonen, Miss. Anna",female,1,30,0,1,0,0,250648,13,0,,S
54,1,2,0,1,"Faunthorpe, Mrs. Lizzie (Elizabeth Anne Wilkinson)",female,1,29,0,1,1,0,2926,26,1,,S
67,1,2,0,1,"Nye, Mrs. (Elizabeth Ramell)",female,1,29,0,1,0,0,C.A. 29395,10.5,0,F33,S
134,1,2,0,1,"Weisz, Mrs. Leopold (Mathilde Francoise Pede)",female,1,29,0,1,1,0,228414,26,1,,S
400,1,2,0,1,"Trout, Mrs. William H (Jessie L)",female,1,28,0,1,0,0,240929,12.65,0,,S
427,1,2,0,1,"Clarke, Mrs. Charles V (Ada Maria Winfield)",female,1,28,0,1,1,0,2003,26,1,,S
444,1,2,0,1,"Reynaldo, Ms. Encarnacion",female,1,28,0,1,0,0,230434,13,0,,S
636,1,2,0,1,"Davis, Miss. Mary",female,1,28,0,1,0,0,237668,13,0,,S
875,1,2,0,1,"Abelson, Mrs. Samuel (Hannah Wizosky)",female,1,28,0,1,1,0,P/PP 3381,24,0,,C
718,1,2,0,1,"Troutt, Miss. Edwina Celia ""Winnie""",female,1,27,0,1,0,0,34218,10.5,0,E101,S
867,1,2,0,1,"Duran y More, Miss. Asuncion",female,1,27,0,1,1,0,SC/PARIS 2149,13.8583,0,,C
581,1,2,0,1,"Christy, Miss. Julie Rachel",female,1,25,0,1,1,1,237789,30,1,,S
881,1,2,0,1,"Shelley, Mrs. William (Imanita Parrish Hall)",female,1,25,0,1,0,1,230433,26,1,,S
248,1,2,0,1,"Hamalainen, Mrs. William (Anna)",female,1,24,0,1,0,2,250649,14.5,0,,S
317,1,2,0,1,"Kantor, Mrs. Sinai (Miriam Sternin)",female,1,24,0,1,1,0,244367,26,1,,S
346,1,2,0,1,"Brown, Miss. Amelia ""Mildred""",female,1,24,0,1,0,0,248733,13,0,F33,S
438,1,2,0,1,"Richards, Mrs. Sidney (Emily Hocking)",female,1,24,0,1,2,3,29106,18.75,0,,S
601,1,2,0,1,"Jacobsohn, Mrs. Sidney Samuel (Amy Frances Christy)",female,1,24,0,1,2,1,243847,27,1,,S
616,1,2,0,1,"Herman, Miss. Alice",female,1,24,0,1,1,2,220845,65,1,,S
474,1,2,0,1,"Jerwan, Mrs. Amin S (Marie Marthe Thuillard)",female,1,23,0,1,0,0,SC/AH Basle 541,13.7917,0,D,C
324,1,2,0,1,"Caldwell, Mrs. Albert Francis (Sylvia Mae Harbaugh)",female,1,22,0,1,1,1,248738,29,1,,S
609,1,2,0,1,"Laroche, Mrs. Joseph (Juliette Marie Louise Lafargue)",female,1,22,0,1,1,2,SC/Paris 2123,41.5792,1,,C
57,1,2,0,1,"Rugg, Miss. Emily",female,1,21,0,1,0,0,C.A. 31026,10.5,0,,S
227,1,2,0,0,"Mellors, Mr. William John",male,0,19,0,0,0,0,SW/PP 751,10.5,0,,S
428,1,2,0,1,"Phillips, Miss. Kate Florence (""Mrs Kate Louise Phillips Marshall"")",female,1,19,0,1,0,0,250655,26,1,,S
547,1,2,0,1,"Beane, Mrs. Edward (Ethel Clarke)",female,1,19,0,1,1,0,2908,26,1,,S
418,1,2,0,1,"Silven, Miss. Lyyli Karoliina",female,1,18,0,1,0,2,250652,13,0,,S
652,1,2,0,1,"Doling, Miss. Elsie",female,1,18,0,1,0,1,231919,23,0,,S
85,1,2,0,1,"Ilett, Miss. Bertha",female,1,17,0,1,0,0,SO/C 14885,10.5,0,,S
390,1,2,0,1,"Lehmann, Miss. Bertha",female,1,17,0,1,0,0,SC 1748,12,0,,C
10,1,2,0,1,"Nasser, Mrs. Nicholas (Adele Achem)",female,1,14,0,1,1,0,237736,30.0708,1,,C
447,1,2,0,1,"Mellinger, Miss. Madeleine Violet",female,1,13,0,1,0,1,250644,19.5,0,,S
238,1,2,0,1,"Collyer, Miss. Marjorie ""Lottie""",female,1,8,0,1,0,2,C.A. 31921,26.25,1,,S
550,1,2,0,0,"Davies, Master. John Morgan Jr",male,0,8,0,1,1,1,C.A. 33112,36.75,1,,S
536,1,2,0,1,"Hart, Miss. Eva Miriam",female,1,7,0,1,0,2,F.C.C. 13529,26.25,1,,S
721,1,2,0,1,"Harper, Miss. Annie Jessie ""Nina""",female,1,6,0,1,0,1,248727,33,1,,S
59,1,2,0,1,"West, Miss. Constance Mirium",female,1,5,1,1,1,2,C.A. 34651,27.75,1,,S
619,1,2,0,1,"Becker, Miss. Marion Louise",female,1,4,1,1,2,1,230136,39,1,F4,S
751,1,2,0,1,"Wells, Miss. Joan",female,1,4,1,1,1,1,29103,23,0,,S
44,1,2,0,1,"Laroche, Miss. Simonne Marie Anne Andree",female,1,3,1,1,1,2,SC/Paris 2123,41.5792,1,,C
194,1,2,0,0,"Navratil, Master. Michel M",male,0,3,1,1,1,1,230080,26,1,F2,S
408,1,2,0,0,"Richards, Master. William Rowe",male,0,3,1,1,1,1,29106,18.75,0,,S
341,1,2,0,0,"Navratil, Master. Edmond Roger",male,0,2,1,1,1,1,230080,26,1,F2,S
531,1,2,0,1,"Quick, Miss. Phyllis May",female,1,2,1,1,1,1,26360,26,1,,S
184,1,2,0,0,"Becker, Master. Richard F",male,0,1,1,1,2,1,230136,39,1,F4,S
828,1,2,0,0,"Mallet, Master. Andre",male,0,1,1,0,0,2,S.C./PARIS 2079,37.0042,1,,C
79,1,2,0,0,"Caldwell, Master. Alden Gates",male,0,0.83,1,0,0,2,248738,29,1,,S
832,1,2,0,0,"Richards, Master. George Sibley",male,0,0.83,1,1,1,1,29106,18.75,0,,S
756,1,2,0,0,"Hamalainen, Master. Viljo",male,0,0.67,1,1,1,1,250649,14.5,0,,S
18,1,2,0,0,"Williams, Mr. Charles Eugene",male,0,,0,0,0,0,244373,13,0,,S
304,1,2,0,1,"Keane, Miss. Nora A",female,1,,0,1,0,0,226593,12.35,0,E101,Q
548,1,2,0,0,"Padro y Manent, Mr. Julian",male,0,,0,0,0,0,SC/PARIS 2146,13.8625,0,,C
597,1,2,0,1,"Leitch, Miss. Jessie Wills",female,1,,0,1,0,0,248727,33,1,,S
484,1,3,0,0,"Turkula, Mrs. (Hedwig)",female,1,63,0,1,0,0,4134,9.5875,0,,S
339,1,3,0,0,"Dahl, Mr. Karl Edwart",male,0,45,0,0,0,0,7598,8.05,0,,S
415,1,3,0,0,"Sundman, Mr. Johan Julian",male,0,44,0,0,0,0,STON/O 2. 3101269,7.925,0,,S
401,1,3,0,0,"Niskanen, Mr. Juha",male,0,39,0,0,0,0,STON/O 2. 3101289,7.925,0,,S
26,1,3,0,0,"Asplund, Mrs. Carl Oscar (Selma Augusta Emilia Johansson)",female,1,38,0,1,1,5,347077,31.3875,1,,S
560,1,3,0,0,"de Messemaeker, Mrs. Guillaume Joseph (Emma)",female,1,36,0,1,1,0,345572,17.4,0,,S
280,1,3,0,0,"Abbott, Mrs. Stanton (Rosa Hunt)",female,1,35,0,1,1,1,C.A. 2673,20.25,0,,S
86,1,3,0,0,"Backstrom, Mrs. Karl Alfred (Maria Mathilda Gustafsson)",female,1,33,0,1,3,0,3101278,15.85,0,,S
75,1,3,0,0,"Bing, Mr. Lee",male,0,32,0,0,0,0,1601,56.4958,1,,S
